sex, bp_type, Age (years),Height (cm),P50,P75,P90,P95,P97,P99,P99 + 5
girls,diastolic,9.5,138,63.2,67.5,71.4,73.8,75.3,78.2,83.2
girls,diastolic,9.5,142,63.5,67.9,71.8,74.2,75.7,78.6,83.6
girls,diastolic,9.5,146,63.8,68.2,72.2,74.5,76.1,79,84
girls,diastolic,9.5,149,64,68.4,72.4,74.8,76.3,79.2,84.2
girls,diastolic,10.5,133,63.1,67.4,71.3,73.6,75.1,78,83
girls,diastolic,10.5,136,63.3,67.6,71.5,73.8,75.3,78.2,83.2
girls,diastolic,10.5,140,63.6,67.9,71.8,74.2,75.7,78.6,83.6
girls,diastolic,10.5,144,64,68.3,72.2,74.6,76.1,79,84
girls,diastolic,10.5,149,64.3,68.7,72.6,75,76.5,79.4,84.4
girls,diastolic,10.5,153,64.6,69,73,75.3,76.9,79.8,84.8
girls,diastolic,10.5,155,64.8,69.2,73.2,75.6,77.1,80,85
girls,diastolic,11.5,140,63.9,68.3,72.2,74.5,76,78.9,83.9
girls,diastolic,11.5,142,64.1,68.5,72.4,74.7,76.2,79.1,84.1
girls,diastolic,11.5,146,64.4,68.8,72.7,75.1,76.6,79.5,84.5
girls,diastolic,11.5,151,64.8,69.2,73.1,75.5,77,79.9,84.9
girls,diastolic,11.5,156,65.1,69.5,73.5,75.9,77.4,80.3,85.3
girls,diastolic,11.5,160,65.4,69.9,73.8,76.2,77.8,80.7,85.7
girls,diastolic,11.5,162,65.6,70.1,74.1,76.4,78,80.9,85.9
girls,diastolic,12.5,146,64.8,69.2,73.1,75.4,77,79.9,84.9
girls,diastolic,12.5,149,65,69.4,73.3,75.7,77.2,80.1,85.1
girls,diastolic,12.5,153,65.3,69.7,73.7,76,77.6,80.5,85.5
girls,diastolic,12.5,157,65.6,70.1,74,76.4,78,80.9,85.9
girls,diastolic,12.5,162,66,70.4,74.4,76.8,78.4,81.3,86.3
girls,diastolic,12.5,166,66.3,70.8,74.8,77.2,78.7,81.7,86.7
girls,diastolic,12.5,168,66.5,71,75,77.4,79,81.9,86.9
girls,diastolic,13.5,150,65.7,70.1,74.1,76.5,78,81,86
girls,diastolic,13.5,153,65.9,70.3,74.3,76.7,78.3,81.2,86.2
girls,diastolic,13.5,157,66.2,70.7,74.7,77.1,78.6,81.6,86.6
girls,diastolic,13.5,161,66.6,71,75.1,77.5,79,82,87
girls,diastolic,13.5,166,66.9,71.4,75.4,77.9,79.4,82.4,87.4
girls,diastolic,13.5,170,67.2,71.7,75.8,78.2,79.8,82.8,87.8
girls,diastolic,13.5,172,67.4,71.9,76,78.4,80,83,88
girls,diastolic,14.5,153,66.7,71.1,75.2,77.6,79.2,82.2,87.2
girls,diastolic,14.5,156,66.8,71.3,75.4,77.8,79.4,82.4,87.4
girls,diastolic,14.5,159,67.2,71.7,75.8,78.2,79.8,82.8,87.8
girls,diastolic,14.5,164,67.5,72,76.1,78.6,80.2,83.2,88.2
girls,diastolic,14.5,168,67.8,72.4,76.5,79,80.6,83.6,88.6
girls,diastolic,14.5,172,68.1,72.7,76.9,79.3,81,84,89
girls,diastolic,14.5,174,68.3,72.9,77.1,79.6,81.2,84.2,89.2
girls,diastolic,15.5,155,67.6,72.2,76.3,78.8,80.4,83.4,88.4
